"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"215/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/45/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/50/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/55/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/60/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"235/45/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"235/50/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"235/55/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"235/60/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"235/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"245/40/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"245/45/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"245/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"255/60/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"255/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"265/65/17","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"265/70/17","9000","8100","6300","8100","6300","4950","5400","4950","3600","8100","6750","4950","6750","5400","4500","5400","4500","2700","6750","5850","4500","4950","4050","3150","3600","2700","1800"
"275/60/17","9000","8100","6300","8100","6300","4950","5400","4950","3600","8100","6750","4950","6750","5400","4500","5400","4500","2700","6750","5850","4500","4950","4050","3150","3600","2700","1800"
"275/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"285/65/17","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"215/55/18","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/40/18","12600","10800","8100","9900","9000","6300","6300","5850","4500","10800","9000","6300","9000","8100","5400","6300","5400","4500","7650","6750","5400","5850","5400","4050","4500","3600","2700"
"225/45/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"225/50/18","12600","10800","8100","9900","9000","6300","6300","5850","4500","10800","9000","6300","9000","8100","5400","6300","5400","4500","7650","6750","5400","5850","5400","4050","4500","3600","2700"
"225/55/18","12600","10800","8100","9900","9000","6300","6300","5850","4500","10800","9000","6300","9000","8100","5400","6300","5400","4500","7650","6750","5400","5850","5400","4050","4500","3600","2700"
"225/60/18","11700","9900","7200","9900","8100","5850","6300","5400","4050","9900","8100","5850","8550","7200","5400","6300","5400","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"225/65/18","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"235/40/18","12600","10800","8100","9900","9000","6300","6300","5850","4500","10800","9000","6300","9000","8100","5400","6300","5400","4500","7650","6750","5400","5850","5400","4050","4500","3600","2700"
"235/45/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/50/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/55/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/60/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/65/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"245/35/18","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"245/40/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
