"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"245/45/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"245/50/20","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"255/35/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"255/40/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"255/45/20","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"255/50/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"255/55/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"265/30/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"265/45/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"265/50/20","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/30/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/35/20","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/40/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/45/20","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/50/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/55/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"275/60/20","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"285/35/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"285/45/20","16800","14700","10500","13650","11550","8400","8400","7350","6300","13650","12075","8400","11550","10500","7350","8400","7350","5775","9450","8400","6300","6825","6300","4725","5250","4200","3150"
"285/50/20","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"295/30/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"295/35/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"295/40/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
